Season,Game,Team,Pd1,Pd2,Pd3,OT,SO Win,Total
2009,20001,NYR,0,1,1,0,0,2
2009,20001,TBL,0,0,1,0,0,1
2009,20002,OTT,1,2,0,0,0,3
2009,20002,PIT,1,1,1,1,0,4
2009,20003,NYR,0,2,0,0,0,2
2009,20003,TBL,1,0,0,0,0,1
2009,20004,OTT,0,1,2,0,0,3
2009,20004,PIT,0,0,1,0,0,1
2009,20005,DET,0,1,1,0,0,2
2009,20005,TOR,1,1,1,0,0,3
2009,20006,BOS,2,1,2,0,0,5
2009,20006,COL,2,1,1,0,0,4
2009,20007,CGY,0,0,0,0,0,0
2009,20007,VAN,1,2,3,0,0,6
2009,20008,ANA,0,0,1,0,0,1
2009,20008,SJS,0,2,2,0,0,4
2009,20009,NJD,1,1,0,0,0,2
2009,20009,NYI,1,0,0,0,0,1
2009,20010,CHI,1,0,1,0,0,2
2009,20010,NYR,1,2,1,0,0,4
2009,20011,CAR,2,2,2,0,0,6
2009,20011,FLA,2,1,1,0,0,4
2009,20012,BUF,1,0,0,0,1,2
2009,20012,MTL,1,0,0,0,0,1
2009,20013,ATL,3,1,3,0,0,7
2009,20013,WSH,1,3,0,0,0,4
2009,20014,NSH,1,1,0,0,0,2
2009,20014,STL,2,3,0,0,0,5
2009,20015,CBJ,1,0,3,1,0,5
2009,20015,DAL,0,2,2,0,0,4
2009,20016,MTL,2,4,0,0,0,6
2009,20016,TOR,0,1,0,0,0,1
2009,20017,DET,1,0,2,0,0,3
2009,20017,OTT,1,1,0,0,0,2
2009,20018,NYI,4,0,1,0,0,5
2009,20018,STL,1,0,1,0,0,2
2009,20019,NYR,4,0,0,0,0,4
2009,20019,PHI,0,2,1,0,0,3
2009,20020,CHI,2,0,0,0,0,2
2009,20020,WSH,1,1,2,0,0,4
2009,20021,ATL,1,1,0,0,0,2
2009,20021,FLA,1,1,0,1,0,3
2009,20022,NJD,0,0,1,1,0,2
2009,20022,PIT,1,0,0,0,0,1
2009,20023,CAR,0,1,2,1,0,4
2009,20023,TBL,2,1,0,0,0,3
2009,20024,DAL,1,0,0,0,0,1
2009,20024,NSH,2,0,1,0,0,3
2009,20025,BOS,1,0,2,0,0,3
2009,20025,MIN,1,3,0,0,0,4
2009,20026,CGY,3,1,0,0,0,4
2009,20026,VAN,1,2,1,1,0,5
2009,20027,CBJ,0,1,0,0,0,1
2009,20027,PHX,2,1,0,0,0,3
2009,20028,LAK,1,0,0,0,0,1
2009,20028,SJS,0,2,1,0,0,3
2009,20029,COL,0,1,1,0,0,2
2009,20029,EDM,1,0,2,0,0,3
2009,20030,ANA,0,1,1,0,0,2
2009,20030,PHX,1,2,1,0,0,4
2009,20031,LAK,0,0,0,0,0,0
2009,20031,SJS,0,1,0,0,0,1
2009,20032,STL,0,3,1,0,1,5
2009,20032,TOR,3,1,0,0,0,4
2009,20033,BUF,1,4,2,0,0,7
2009,20033,NYI,0,0,1,0,0,1
2009,20034,NJD,0,1,0,0,0,1
2009,20034,NYR,1,1,2,0,0,4
2009,20035,MTL,0,1,4,0,0,5
2009,20035,PHI,0,2,1,0,0,3
2009,20036,VAN,1,0,0,0,0,1
2009,20036,WSH,2,3,0,0,0,5
2009,20037,CAR,0,1,0,0,0,1
2009,20037,DET,1,1,1,0,0,3
2009,20038,CHI,1,1,0,0,0,2
2009,20038,NSH,2,0,0,0,1,3
2009,20039,PHI,0,2,0,0,0,2
2009,20039,PIT,0,2,0,1,0,3
2009,20040,ATL,0,1,1,0,0,2
2009,20040,MIN,1,0,3,0,0,4
2009,20041,CGY,3,0,2,0,0,5
2009,20041,COL,2,1,1,0,0,4
2009,20042,ANA,2,0,1,0,0,3
2009,20042,LAK,1,2,3,0,0,6
2009,20043,CBJ,1,1,0,0,0,2
2009,20043,SJS,0,3,2,0,0,5
2009,20044,BUF,0,2,1,0,0,3
2009,20044,NYR,1,0,0,0,0,1
2009,20045,BOS,0,1,2,0,0,3
2009,20045,MTL,3,0,0,0,1,4
2009,20046,CHI,0,2,2,0,0,4
2009,20046,PHX,0,1,0,0,0,1
2009,20047,DAL,1,3,2,0,0,6
2009,20047,NSH,0,3,1,0,0,4
2009,20048,ANA,1,1,0,0,0,2
2009,20048,EDM,1,1,1,0,0,3
2009,20049,ATL,0,0,0,0,0,0
2009,20049,NJD,0,1,0,0,0,1
2009,20050,PIT,2,1,0,0,0,3
2009,20050,WSH,0,1,3,0,0,4
2009,20051,NYI,1,1,1,1,0,4
2009,20051,TBL,0,0,3,0,0,3
2009,20052,FLA,0,2,0,0,0,2
2009,20052,MIN,1,3,2,0,0,6
2009,20053,DET,1,2,0,0,0,3
2009,20053,VAN,2,0,1,1,0,4
2009,20054,DAL,1,0,0,0,0,1
2009,20054,STL,2,3,1,0,0,6
2009,20055,COL,2,2,1,0,0,5
2009,20055,PHI,0,2,0,0,0,2
2009,20056,OTT,3,1,2,0,0,6
2009,20056,PHX,0,0,3,0,0,3
2009,20057,NYR,0,0,0,0,1,1
2009,20057,TOR,0,0,0,0,0,0
2009,20058,CBJ,3,1,1,0,0,5
2009,20058,NSH,0,2,1,0,0,3
2009,20059,BUF,3,1,1,0,0,5
2009,20059,VAN,0,1,1,0,0,2
2009,20060,CGY,1,1,1,0,0,3
2009,20060,EDM,1,3,0,0,0,4
2009,20061,ANA,1,1,2,0,0,4
2009,20061,SJS,0,0,0,0,0,0
2009,20062,CAR,0,3,0,0,0,3
2009,20062,LAK,1,1,1,1,0,4
2009,20063,COL,2,3,0,0,0,5
2009,20063,DAL,1,1,2,0,0,4
2009,20064,MTL,2,2,0,0,0,4
2009,20064,PHX,0,0,1,0,0,1
2009,20065,BOS,1,2,1,0,0,4
2009,20065,OTT,1,1,0,0,0,2
2009,20066,PIT,1,1,2,0,0,4
2009,20066,TOR,1,0,0,0,0,1
2009,20067,NJD,1,0,2,0,1,4
2009,20067,WSH,1,1,1,0,0,3
2009,20068,ATL,2,0,0,0,1,3
2009,20068,BUF,0,1,1,0,0,2
2009,20069,FLA,1,1,0,0,0,2
2009,20069,NYI,0,0,0,0,0,0
2009,20070,DET,2,1,1,1,0,5
2009,20070,NYR,1,1,2,0,0,4
2009,20071,MIN,0,0,0,0,1,1
2009,20071,TBL,0,0,0,0,0,0
2009,20072,CBJ,0,2,1,0,0,3
2009,20072,NSH,3,1,2,0,0,6
2009,20073,CHI,1,1,1,0,0,3
2009,20073,STL,0,1,2,0,1,4
2009,20074,CGY,2,0,0,0,0,2
2009,20074,EDM,0,3,0,0,0,3
2009,20075,PHI,1,2,1,0,0,4
2009,20075,SJS,0,2,2,1,0,5
2009,20076,CHI,2,0,2,0,0,4
2009,20076,VAN,1,0,1,0,0,2
2009,20077,ANA,0,1,0,0,0,1
2009,20077,CAR,1,1,1,0,0,3
2009,20078,BOS,0,1,0,0,0,1
2009,20078,PIT,1,0,0,0,1,2
2009,20079,DAL,0,1,1,0,0,2
2009,20079,NYR,1,0,0,0,0,1
2009,20080,MTL,0,1,2,0,0,3
2009,20080,FLA,0,0,1,0,0,1
2009,20081,COL,1,3,0,0,0,4
2009,20081,LAK,1,1,1,0,0,3
2009,20082,BOS,1,1,0,0,0,2
2009,20082,BUF,0,1,1,0,1,3
2009,20083,ANA,2,0,0,0,1,3
2009,20083,TOR,0,1,1,0,0,2
2009,20084,CBJ,2,1,1,0,0,4
2009,20084,VAN,1,0,1,0,0,2
2009,20085,ATL,0,0,2,0,0,2
2009,20085,TBL,1,1,0,1,0,3
2009,20086,CGY,0,2,0,0,0,2
2009,20086,WSH,1,0,0,0,0,1
2009,20087,FLA,2,1,0,0,0,3
2009,20087,OTT,0,1,0,0,0,1
2009,20088,DAL,0,0,0,0,0,0
