"http://professionals.collegeboard.com/profdownload/sat-mathematics-percentile-ranks-2010.pdf",,,,,,
,"Total",,"Male",,"Female",
"Score","Number","Percentile","Number","Percentile","Number","Percentile"
800,11959,99,8072,99,3887,"99+"
790,3588,99,2327,99,1261,99
780,3770,99,2377,98,1393,99
770,9663,98,6340,97,3323,99
760,7016,98,4413,97,2603,98
750,10313,97,6721,96,3592,98
740,7542,97,4612,95,2930,98
730,9721,96,6004,94,3717,97
720,7674,95,4664,94,3010,97
710,15694,94,9508,92,6186,96
700,17394,93,10568,91,6826,95
690,21305,92,12858,89,8447,94
680,22953,90,13552,87,9401,93
670,24377,89,14205,85,10172,92
660,27356,87,15564,83,11792,91
650,26303,85,14685,81,11618,89
640,26844,84,14906,79,11938,88
630,28425,82,15675,77,12750,86
620,31515,80,17018,74,14497,84
610,44082,77,23042,71,21040,82
600,33358,75,17325,69,16033,80
590,38788,72,20170,66,18618,78
580,40879,70,20699,63,20180,75
570,51731,66,25790,60,25941,72
560,38232,64,18782,57,19450,70
550,38473,61,18659,54,19814,67
540,54552,58,26165,51,28387,64
530,55065,54,25373,47,29692,60
520,43599,51,20022,44,23577,57
510,45452,48,20673,42,24779,54
500,61084,45,26823,38,34261,50
490,57090,41,25113,34,31977,46
480,40871,38,17594,32,23277,44
470,47521,35,20181,29,27340,40
460,58137,31,23544,26,34593,36
450,50172,28,20777,23,29395,33
440,39180,26,15576,21,23604,30
430,46320,23,18412,18,27908,26
420,47752,20,18154,16,29598,23
410,41915,17,16052,14,25863,20
400,30052,15,11210,12,18842,17
390,32466,13,12140,10,20326,15
380,27135,11,9984,9,17151,13
370,25852,9,9484,8,16368,11
360,23847,8,8809,6,15038,9
350,20800,6,7755,5,13045,7
340,17639,5,6554,4,11085,6
330,14623,4,5371,4,9252,5
320,11400,4,4295,3,7105,4
310,11776,3,4411,2,7365,3
300,8430,2,3300,2,5130,3
290,7358,2,2898,2,4460,2
280,7358,1,2872,1,4486,2
270,3194,1,1301,1,1893,1
260,3495,1,1375,1,2120,1
250,2163,1,821,1,1342,1
240,3278,1,1303,1,1975,1
230,1454,1,555,"1-",899,1
220,2519,"1-",991,"1-",1528,"1-"
210,1221,"1-",501,"1-",720,"1-"
200,4265,"–",1868,"–",2397,"–"
,1547990,,720793,,827197,
,,,65606,,38728,
,,,0.0910191969,,0.0468183516,
