"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT16","WT18"
"USC00190736","BLUE HILL COOP, MA US","1967-05-11","0.43","0.0","0.0","57","36",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-12","0.00","0.0","0.0","58","39",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-13","0.00","0.0","0.0","64","38",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-14","0.00","0.0","0.0","67","44",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-15","0.31","0.0","0.0","49","41",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-16","0.00","0.0","0.0","57","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-17","0.00","0.0","0.0","68","41",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-18","0.00","0.0","0.0","72","46",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-19","0.00","0.0","0.0","75","54",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-20","0.00","0.0","0.0","76","47",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-21","0.00","0.0","0.0","61","40",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-22","0.00","0.0","0.0","59","44",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-23","0.00","0.0","0.0","56","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-24","0.00","0.0","0.0","57","37",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-25","3.73","0.0","0.0","42","37",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-26","0.89","0.0","0.0","40","38",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-27","0.00","0.0","0.0","57","40",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-28","0.00","0.0","0.0","74","45",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-29","0.00","0.0","0.0","65","49",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-30","0.00","0.0","0.0","71","45",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-05-31","0.00","0.0","0.0","63","43",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-01","0.00","0.0","0.0","79","43",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-02","0.00","0.0","0.0","84","61",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-03","0.00","0.0","0.0","82","58",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-04","0.00","0.0","0.0","84","57",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-05","0.00","0.0","0.0","84","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-06","0.00","0.0","0.0","80","54",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-07","0.00","0.0","0.0","82","55",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-08","0.09","0.0","0.0","64","50",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-09","0.00","0.0","0.0","84","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-10","0.00","0.0","0.0","92","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-11","0.00","0.0","0.0","80","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-12","0.32","0.0","0.0","88","50",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-13","0.27","0.0","0.0","60","47",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-14","0.00","0.0","0.0","70","50",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-15","0.00","0.0","0.0","83","53",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-16","0.00","0.0","0.0","92","67",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-17","0.00","0.0","0.0","87","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-18","0.76","0.0","0.0","75","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-19","0.12","0.0","0.0","60","54",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-20","2.11","0.0","0.0","54","49",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-21","0.22","0.0","0.0","56","49",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-22","0.00","0.0","0.0","74","55",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-23","0.30","0.0","0.0","70","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-24","0.00","0.0","0.0","86","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-25","0.05","0.0","0.0","84","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-26","0.00","0.0","0.0","77","55",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-27","0.00","0.0","0.0","79","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-28","0.00","0.0","0.0","81","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-29","0.00","0.0","0.0","74","54",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-06-30","0.06","0.0","0.0","54","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-01","0.00","0.0","0.0","75","54",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-02","0.07","0.0","0.0","80","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-03","1.09","0.0","0.0","78","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-04","0.09","0.0","0.0","82","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-05","0.27","0.0","0.0","71","58",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-06","0.00","0.0","0.0","72","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-07","0.00","0.0","0.0","80","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-08","0.00","0.0","0.0","83","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-09","0.02","0.0","0.0","79","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-10","0.00","0.0","0.0","87","69",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-11","0.00","0.0","0.0","72","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-12","0.20","0.0","0.0","83","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-13","0.00","0.0","0.0","75","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-14","0.00","0.0","0.0","82","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-15","0.61","0.0","0.0","77","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-16","0.02","0.0","0.0","76","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-17","0.00","0.0","0.0","79","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-18","0.00","0.0","0.0","71","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-19","0.01","0.0","0.0","77","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-20","0.04","0.0","0.0","70","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-21","0.00","0.0","0.0","78","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-22","0.00","0.0","0.0","82","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-23","0.00","0.0","0.0","80","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-24","0.00","0.0","0.0","86","69",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-25","0.40","0.0","0.0","86","68",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-26","0.00","0.0","0.0","81","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-27","0.00","0.0","0.0","85","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-28","0.12","0.0","0.0","79","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-29","0.00","0.0","0.0","84","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-30","0.01","0.0","0.0","80","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-07-31","0.00","0.0","0.0","86","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-01","0.26","0.0","0.0","80","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-02","0.00","0.0","0.0","76","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-03","0.00","0.0","0.0","74","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-04","0.11","0.0","0.0","80","70",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-05","0.83","0.0","0.0","81","68",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-06","0.88","0.0","0.0","68","61",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-07","0.00","0.0","0.0","81","58",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-08","0.00","0.0","0.0","76","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-09","0.11","0.0","0.0","80","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-10","0.13","0.0","0.0","80","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-11","0.00","0.0","0.0","70","57",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-12","0.00","0.0","0.0","67","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-13","0.27","0.0","0.0","66","58",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-14","0.09","0.0","0.0","78","57",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-15","0.00","0.0","0.0","83","61",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-16","0.00","0.0","0.0","84","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-17","0.00","0.0","0.0","84","65",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-18","0.00","0.0","0.0","87","63",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-19","0.00","0.0","0.0","82","68",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-20","0.00","0.0","0.0","83","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-21","0.00","0.0","0.0","80","61",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-22","0.05","0.0","0.0","80","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-23","0.00","0.0","0.0","67","55",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-24","0.00","0.0","0.0","70","55",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-25","0.75","0.0","0.0","66","58",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-26","0.93","0.0","0.0","67","58",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-27","0.10","0.0","0.0","83","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-28","0.25","0.0","0.0","82","62",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-29","0.00","0.0","0.0","78","57",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-30","0.00","0.0","0.0","83","64",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-08-31","0.22","0.0","0.0","80","53",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-01","0.00","0.0","0.0","59","49",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-02","0.00","0.0","0.0","60","45",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-03","0.00","0.0","0.0","68","44",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-04","0.00","0.0","0.0","76","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-05","0.00","0.0","0.0","80","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-06","0.00","0.0","0.0","77","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-07","0.00","0.0","0.0","73","49",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-08","0.00","0.0","0.0","82","61",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-09","0.00","0.0","0.0","78","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-10","0.07","0.0","0.0","67","50",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-11","0.00","0.0","0.0","57","45",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-12","0.00","0.0","0.0","62","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-13","0.00","0.0","0.0","68","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-14","0.00","0.0","0.0","69","50",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-15","0.03","0.0","0.0","62","53",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-16","0.00","0.0","0.0","66","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-17","0.00","0.0","0.0","82","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-18","0.00","0.0","0.0","79","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-19","0.00","0.0","0.0","79","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-20","0.00","0.0","0.0","73","54",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-21","0.00","0.0","0.0","73","51",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-22","0.22","0.0","0.0","75","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-23","0.00","0.0","0.0","67","48",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-24","0.09","0.0","0.0","61","43",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-25","0.00","0.0","0.0","57","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-26","0.00","0.0","0.0","67","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-27","0.00","0.0","0.0","74","53",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-28","0.16","0.0","0.0","75","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-29","2.40","0.0","0.0","70","66",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-09-30","0.09","0.0","0.0","72","49",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-01","0.00","0.0","0.0","62","45",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-02","0.00","0.0","0.0","67","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-03","0.00","0.0","0.0","79","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-04","0.00","0.0","0.0","77","59",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-05","0.00","0.0","0.0","80","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-06","0.00","0.0","0.0","57","45",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-07","0.00","0.0","0.0","48","38",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-08","0.00","0.0","0.0","60","37",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-09","0.00","0.0","0.0","70","52",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-10","0.17","0.0","0.0","66","61",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-11","0.02","0.0","0.0","63","46",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-12","0.00","0.0","0.0","57","42",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-13","0.00","0.0","0.0","51","43",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-14","0.00","0.0","0.0","55","41",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-15","0.00","0.0","0.0","66","48",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-16","0.00","0.0","0.0","63","47",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-17","0.00","0.0","0.0","75","56",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-18","0.25","0.0","0.0","74","60",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-19","0.00","0.0","0.0","60","39",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-20","0.00","0.0","0.0","53","36",,,,,,,,,,,,
"USC00190736","BLUE HILL COOP, MA US","1967-10-21","0.00","0.0","0.0","60","42",,,,,,,,,,,,
