caseid,year,age,sex,polviews,partyid,indus10
1,1974,21.0,1,4.0,2.0,4970.0
2,1974,41.0,1,5.0,0.0,9160.0
5,1974,58.0,2,6.0,1.0,2670.0
6,1974,30.0,1,5.0,4.0,6870.0
7,1974,48.0,1,5.0,4.0,7860.0
8,1974,67.0,1,5.0,0.0,2870.0
10,1974,54.0,2,6.0,0.0,9470.0
11,1974,89.0,1,4.0,5.0,6990.0
12,1974,71.0,1,2.0,2.0,6080.0
14,1974,30.0,2,4.0,0.0,4970.0
15,1974,22.0,2,6.0,0.0,8680.0
16,1974,23.0,1,4.0,2.0,4970.0
17,1974,63.0,1,4.0,7.0,170.0
19,1974,71.0,2,7.0,5.0,9290.0
21,1974,25.0,1,4.0,7.0,1070.0
22,1974,72.0,1,6.0,0.0,770.0
23,1974,73.0,2,6.0,1.0,170.0
25,1974,65.0,2,2.0,0.0,4970.0
26,1974,59.0,1,2.0,3.0,4290.0
27,1974,53.0,1,4.0,3.0,4670.0
28,1974,60.0,2,4.0,4.0,1680.0
29,1974,54.0,2,7.0,1.0,8190.0
30,1974,35.0,2,5.0,2.0,6990.0
31,1974,51.0,1,4.0,0.0,3770.0
32,1974,58.0,1,3.0,0.0,770.0
34,1974,72.0,2,4.0,1.0,4970.0
36,1974,26.0,1,5.0,1.0,3770.0
37,1974,39.0,1,4.0,2.0,1870.0
38,1974,58.0,2,3.0,5.0,1680.0
40,1974,23.0,2,3.0,2.0,7860.0
41,1974,28.0,1,5.0,4.0,4880.0
42,1974,47.0,1,3.0,2.0,7860.0
43,1974,67.0,1,4.0,1.0,7870.0
44,1974,54.0,2,4.0,1.0,6870.0
45,1974,50.0,2,3.0,1.0,9480.0
46,1974,32.0,1,2.0,0.0,6390.0
47,1974,67.0,1,2.0,0.0,9670.0
48,1974,70.0,1,4.0,0.0,1290.0
49,1974,36.0,2,3.0,1.0,8660.0
50,1974,57.0,2,4.0,0.0,8190.0
51,1974,22.0,1,4.0,7.0,1270.0
52,1974,58.0,1,6.0,4.0,4170.0
53,1974,71.0,2,2.0,6.0,7070.0
54,1974,83.0,2,4.0,4.0,7860.0
55,1974,52.0,2,5.0,3.0,6670.0
56,1974,59.0,1,5.0,0.0,6870.0
57,1974,83.0,1,3.0,0.0,6080.0
61,1974,57.0,1,7.0,2.0,7590.0
62,1974,52.0,1,7.0,4.0,7070.0
63,1974,69.0,2,4.0,2.0,8190.0
64,1974,40.0,2,4.0,1.0,6170.0
65,1974,63.0,2,3.0,1.0,4970.0
67,1974,72.0,1,4.0,1.0,8290.0
68,1974,51.0,1,6.0,4.0,7070.0
70,1974,29.0,2,3.0,2.0,5380.0
72,1974,54.0,1,5.0,2.0,6080.0
73,1974,36.0,2,7.0,2.0,8680.0
74,1974,27.0,2,4.0,4.0,4970.0
75,1974,66.0,2,5.0,0.0,8980.0
76,1974,66.0,1,6.0,6.0,3070.0
78,1974,37.0,1,4.0,1.0,8880.0
80,1974,71.0,2,4.0,5.0,8660.0
81,1974,66.0,1,4.0,3.0,180.0
82,1974,52.0,1,4.0,1.0,170.0
84,1974,50.0,2,4.0,5.0,170.0
85,1974,32.0,2,3.0,1.0,6990.0
86,1974,32.0,1,3.0,1.0,7860.0
87,1974,58.0,1,4.0,5.0,170.0
89,1974,31.0,2,6.0,1.0,9470.0
90,1974,29.0,2,4.0,1.0,8170.0
91,1974,30.0,1,2.0,7.0,6170.0
92,1974,65.0,1,5.0,1.0,170.0
95,1974,23.0,2,2.0,1.0,7860.0
96,1974,18.0,1,4.0,1.0,8680.0
98,1974,43.0,1,6.0,0.0,3890.0
100,1974,21.0,2,4.0,1.0,9380.0
101,1974,26.0,1,3.0,2.0,9160.0
102,1974,55.0,1,4.0,0.0,6180.0
103,1974,37.0,1,7.0,3.0,4790.0
104,1974,23.0,2,5.0,5.0,3360.0
105,1974,34.0,2,5.0,1.0,4980.0
106,1974,27.0,1,5.0,2.0,9690.0
107,1974,42.0,1,4.0,7.0,7790.0
108,1974,43.0,1,4.0,3.0,770.0
110,1974,44.0,2,4.0,2.0,8270.0
111,1974,28.0,1,2.0,4.0,9170.0
112,1974,56.0,1,5.0,5.0,6970.0
113,1974,58.0,1,6.0,3.0,7860.0
115,1974,25.0,2,2.0,3.0,3370.0
116,1974,31.0,1,4.0,2.0,3090.0
117,1974,54.0,1,2.0,1.0,7860.0
118,1974,28.0,2,4.0,1.0,6870.0
119,1974,27.0,2,4.0,1.0,7860.0
121,1974,50.0,1,6.0,3.0,6170.0
122,1974,50.0,1,4.0,0.0,8690.0
123,1974,68.0,2,7.0,6.0,8980.0
124,1974,27.0,2,2.0,1.0,1680.0
125,1974,20.0,2,2.0,1.0,3980.0
126,1974,27.0,1,4.0,0.0,3890.0
127,1974,23.0,1,3.0,4.0,9370.0
128,1974,43.0,1,2.0,3.0,2670.0
129,1974,48.0,2,4.0,1.0,3790.0
130,1974,42.0,2,6.0,4.0,7590.0
132,1974,45.0,1,5.0,1.0,770.0
133,1974,78.0,2,6.0,6.0,9290.0
134,1974,66.0,2,6.0,0.0,7860.0
135,1974,30.0,2,4.0,2.0,6870.0
136,1974,31.0,1,4.0,3.0,2890.0
137,1974,38.0,1,6.0,1.0,770.0
138,1974,57.0,2,6.0,0.0,5170.0
139,1974,27.0,2,3.0,3.0,6770.0
140,1974,31.0,2,2.0,5.0,3970.0
141,1974,23.0,1,4.0,3.0,6170.0
142,1974,64.0,1,1.0,3.0,9180.0
143,1974,21.0,2,4.0,2.0,8680.0
145,1974,22.0,2,2.0,2.0,3390.0
146,1974,31.0,1,6.0,5.0,1680.0
147,1974,54.0,1,4.0,1.0,7270.0
148,1974,38.0,1,3.0,2.0,6570.0
149,1974,66.0,2,6.0,6.0,5380.0
150,1974,43.0,2,3.0,0.0,8470.0
151,1974,22.0,1,3.0,1.0,8190.0
152,1974,33.0,1,5.0,2.0,7680.0
153,1974,50.0,1,1.0,0.0,9160.0
154,1974,42.0,2,4.0,5.0,3390.0
155,1974,39.0,2,7.0,5.0,5070.0
156,1974,26.0,1,3.0,2.0,9680.0
157,1974,60.0,1,3.0,0.0,770.0
158,1974,51.0,1,5.0,6.0,6370.0
159,1974,28.0,2,4.0,5.0,4270.0
160,1974,60.0,2,4.0,6.0,4970.0
161,1974,31.0,1,4.0,7.0,2170.0
162,1974,44.0,1,5.0,5.0,2670.0
163,1974,32.0,2,4.0,6.0,7980.0
165,1974,31.0,2,4.0,5.0,8470.0
166,1974,21.0,1,2.0,7.0,590.0
167,1974,67.0,1,7.0,5.0,6470.0
168,1974,76.0,2,3.0,6.0,4280.0
169,1974,53.0,2,5.0,6.0,4990.0
170,1974,53.0,2,2.0,0.0,8170.0
171,1974,32.0,1,6.0,2.0,5592.0
172,1974,49.0,1,4.0,3.0,9690.0
173,1974,48.0,2,2.0,0.0,570.0
174,1974,19.0,2,2.0,2.0,7070.0
175,1974,43.0,2,1.0,1.0,7870.0
176,1974,48.0,1,2.0,0.0,7870.0
177,1974,42.0,1,5.0,5.0,3580.0
178,1974,38.0,2,3.0,3.0,3380.0
179,1974,42.0,2,5.0,5.0,9380.0
180,1974,39.0,2,4.0,5.0,6870.0
181,1974,24.0,1,2.0,1.0,8080.0
182,1974,45.0,1,3.0,0.0,9180.0
183,1974,55.0,2,4.0,5.0,4470.0
184,1974,48.0,2,3.0,0.0,6680.0
185,1974,22.0,2,4.0,2.0,6290.0
186,1974,31.0,1,2.0,4.0,4870.0
187,1974,72.0,1,3.0,0.0,770.0
190,1974,38.0,2,6.0,6.0,8190.0
191,1974,56.0,1,4.0,4.0,6770.0
192,1974,62.0,1,4.0,0.0,6080.0
195,1974,30.0,2,4.0,1.0,7860.0
196,1974,21.0,1,2.0,2.0,2290.0
197,1974,37.0,1,3.0,3.0,5790.0
199,1974,24.0,2,3.0,5.0,3490.0
200,1974,23.0,2,3.0,1.0,5380.0
201,1974,69.0,1,4.0,1.0,770.0
202,1974,44.0,1,4.0,3.0,680.0
203,1974,65.0,2,4.0,0.0,1270.0
204,1974,55.0,2,4.0,0.0,7490.0
205,1974,59.0,2,6.0,6.0,2190.0
206,1974,43.0,1,2.0,2.0,9790.0
207,1974,52.0,1,4.0,4.0,9370.0
208,1974,54.0,2,7.0,6.0,2490.0
209,1974,43.0,2,5.0,4.0,7460.0
211,1974,72.0,1,4.0,7.0,9690.0
212,1974,68.0,1,4.0,1.0,590.0
213,1974,69.0,2,4.0,1.0,7860.0
215,1974,48.0,2,4.0,5.0,8680.0
216,1974,29.0,1,4.0,3.0,770.0
217,1974,70.0,1,4.0,1.0,770.0
218,1974,80.0,1,5.0,5.0,3680.0
219,1974,61.0,2,4.0,1.0,8590.0
220,1974,33.0,2,2.0,0.0,8370.0
221,1974,26.0,1,3.0,1.0,3190.0
222,1974,36.0,1,2.0,2.0,7860.0
223,1974,53.0,1,4.0,6.0,2790.0
224,1974,56.0,2,6.0,6.0,7860.0
225,1974,54.0,2,3.0,1.0,9370.0
227,1974,49.0,1,4.0,4.0,770.0
228,1974,69.0,1,4.0,1.0,770.0
229,1974,38.0,2,2.0,1.0,3370.0
230,1974,75.0,2,4.0,6.0,6770.0
231,1974,35.0,1,5.0,1.0,770.0
232,1974,66.0,1,4.0,1.0,770.0
233,1974,74.0,1,5.0,0.0,770.0
234,1974,80.0,2,3.0,1.0,8670.0
235,1974,34.0,2,3.0,0.0,4970.0
236,1974,22.0,1,6.0,6.0,9680.0
237,1974,52.0,1,4.0,5.0,8680.0
238,1974,81.0,2,4.0,6.0,7270.0
240,1974,19.0,2,4.0,5.0,4970.0
241,1974,23.0,1,4.0,3.0,7870.0
242,1974,20.0,1,4.0,3.0,3390.0
243,1974,74.0,1,4.0,7.0,5670.0
244,1974,45.0,2,4.0,0.0,9290.0
245,1974,61.0,2,3.0,6.0,6480.0
246,1974,71.0,1,6.0,5.0,7860.0
247,1974,47.0,1,5.0,6.0,4585.0
248,1974,67.0,2,4.0,5.0,6880.0
249,1974,28.0,2,3.0,5.0,7860.0
250,1974,59.0,2,2.0,5.0,6370.0
