sample,best available identification,reads/400,,,,
B1234,Actinobacteridae,1,,,sample:,belly button sample identifier
B1234,Actinobacteridae,2,,,reads/400:,the number of reads of a particular phylotype in a given sample after a rarefaction to 400 reads per sample
B1234,Actinobacteridae,5,,,,
B1234,Actinomyces,7,,,,
B1234,Anaerococcus,1,,,,
B1234,Anaerococcus,1,,,,
B1234,Anaerococcus,1,,,,
B1234,Anaerococcus,1,,,,
B1234,Anaerococcus,1,,,,
B1234,Anaerococcus,11,,,,
B1234,Anaerococcus,2,,,,
B1234,Anaerococcus,4,,,,
B1234,Anaerococcus,56,,,,
B1234,Anaerococcus,8,,,,
B1234,Bacteroidetes,43,,,,
B1234,Caenibacterium,1,,,,
B1234,Campylobacter,2,,,,
B1234,Campylobacter,7,,,,
B1234,Campylobacterales,1,,,,
B1234,Clostridiales,1,,,,
B1234,Clostridiales,1,,,,
B1234,Clostridiales,2,,,,
B1234,Clostridiales,9,,,,
B1234,Corynebacterineae,1,,,,
B1234,Corynebacterineae,1,,,,
B1234,Corynebacterium,1,,,,
B1234,Corynebacterium,2,,,,
B1234,Dialister,2,,,,
B1234,Finegoldia,1,,,,
B1234,Finegoldia,37,,,,
B1234,Firmicutes,1,,,,
B1234,Mobiluncus,29,,,,
B1234,Peptoniphilus,1,,,,
B1234,Peptoniphilus,16,,,,
B1234,Peptoniphilus,35,,,,
B1234,Peptoniphilus,9,,,,
B1234,Porphyromonas,1,,,,
B1234,Porphyromonas,23,,,,
B1234,Prevotella,9,,,,
B1234,Sphingobacterium,1,,,,
B1234,unidentified,1,,,,
B1234,unidentified,1,,,,
B1234,unidentified,1,,,,
B1234,unidentified,1,,,,
B1234,unidentified,40,,,,
B1234,unidentified,6,,,,
B1234,unidentified,9,,,,
B1234,Varibaculum,3,,,,
B1235,Aerococcaceae,1,,,,
B1235,Anaerococcus,1,,,,
B1235,Anaerococcus,1,,,,
B1235,Anaerococcus,1,,,,
B1235,Anaerococcus,1,,,,
B1235,Anaerococcus,1,,,,
B1235,Anaerococcus,3,,,,
B1235,Anaerococcus,39,,,,
B1235,Anaerococcus,6,,,,
B1235,Anaerococcus,6,,,,
B1235,Bacteroidetes,1,,,,
B1235,Bacteroidetes,1,,,,
B1235,Bacteroidetes,1,,,,
B1235,Bacteroidetes,2,,,,
B1235,Bacteroidetes,21,,,,
B1235,Bacteroidetes,3,,,,
B1235,Campylobacter,4,,,,
B1235,Clostridiales,1,,,,
B1235,Clostridiales,1,,,,
B1235,Clostridiales,1,,,,
B1235,Clostridiales,1,,,,
B1235,Clostridiales,1,,,,
